Eviction ID,Address,Neighborhoods - Analysis Boundaries
M191633,100 Block Of Ward  Street,Portola
M191626,2000 Block Of Thomas  Avenue,Bayview Hunters Point
M191628,100 Block Of Excelsior  Avenue,Excelsior
M191635,1200 Block Of 4th  Avenue,Inner Sunset
M191629,200 Block Of Jones  Street,Tenderloin
M191630,200 Block Of Jones  Street,Tenderloin
M191627,100 Block Of Cambon  Drive,Lakeshore
M191631,1000 Block Of Mission  Street,South of Market
M191623,200 Block Of Lily  Street,Hayes Valley
M191622,200 Block Of Lily  Street,Hayes Valley
M191725,2700 Block Of 23rd  Street,Mission
M191724,2700 Block Of 23rd  Street,Mission
M191619,4400 Block Of 17th  Street,Castro/Upper Market
M191621,200 Block Of Lily  Street,Hayes Valley
M191620,200 Block Of Lily  Street,Hayes Valley
M191719,3100 Block Of California  Street,Presidio Heights
M191618,0 Block Of Taylor  Street,Tenderloin
M191721,500 Block Of Filbert  Street,North Beach
M191617,3500 Block Of San Bruno  Avenue,Visitacion Valley
M191722,500 Block Of Filbert  Street,North Beach
M191616,600 Block Of Polk  Street,Tenderloin
M191723,500 Block Of Filbert  Street,North Beach
M191603,400 Block Of Serrano  Drive,Lakeshore
M191596,1200 Block Of 45th  Avenue,Sunset/Parkside
M191602,300 Block Of Arballo  Drive,Lakeshore
M191600,100 Block Of Crespi  Drive,Lakeshore
M191593,1700 Block Of Quesada  Avenue,Bayview Hunters Point
M191594,1700 Block Of Quesada  Avenue,Bayview Hunters Point
M191605,0 Block Of Higuera  Avenue,Lakeshore
M191592,1700 Block Of Kearny  Street,North Beach
M191599,700 Block Of Gonzalez  Drive,Lakeshore
M191601,200 Block Of Vidal  Drive,Lakeshore
M191597,400 Block Of Jones  Street,Tenderloin
M191604,0 Block Of Chumasero  Drive,Lakeshore
M191598,1300 Block Of Utah  Street,Mission
M191595,2100 Block Of Stockton  Street,North Beach
M191590,1200 Block Of Chestnut  Street,Russian Hill
M191589,0 Block Of 6th  Street,South of Market
M191588,400 Block Of Valencia  Street,Mission
M191591,3000 Block Of Sacramento  Street,Pacific Heights
M191587,600 Block Of Mason  Street,Nob Hill
M191610,0 Block Of Pearl  Street,Mission
M191586,1800 Block Of Mission  Street,Mission
M191609,2800 Block Of Folsom  Street,Mission
M191469,2000 Block Of Thomas  Avenue,Bayview Hunters Point
M191473,3000 Block Of Sacramento  Street,Pacific Heights
M191510,200 Block Of Romain  Street,Twin Peaks
M191470,2200 Block Of Mission  Street,Mission
M191514,1000 Block Of Geneva  Avenue,Excelsior
M191471,1000 Block Of Guerrero  Street,Mission
M191511,200 Block Of Romain  Street,Twin Peaks
M191472,300 Block Of Leavenworth  Street,Tenderloin
M191509,2800 Block Of Folsom  Street,Mission
M191466,400 Block Of Ashbury  Street,Haight Ashbury
M191502,100 Block Of Jules  Avenue,Oceanview/Merced/Ingleside
M191501,100 Block Of Miramar  Avenue,Oceanview/Merced/Ingleside
M191465,100 Block Of Ellsworth  Street,Bernal Heights
M191457,0 Block Of Turk  Street,Tenderloin
M191459,1600 Block Of North Point  Street,Marina
M191458,1600 Block Of Market  Street,Mission
M191461,0 Block Of Turk  Street,Tenderloin
M191463,0 Block Of Dunsmuir  Street,Portola
M191508,2300 Block Of 31st  Avenue,Sunset/Parkside
M191460,1000 Block Of Bush  Street,Nob Hill
M191464,0 Block Of Dunsmuir  Street,Portola
M191462,0 Block Of Dunsmuir  Street,Portola
M191506,3200 Block Of Anza  Street,Outer Richmond
M191507,1700 Block Of Vallejo  Street,Marina
M191456,600 Block Of Green  Street,Chinatown
M191505,900 Block Of Naples  Street,Excelsior
M191455,900 Block Of Powell  Street,Chinatown
M191392,100 Block Of Font  Boulevard,Lakeshore
M191452,800 Block Of Green  Street,Russian Hill
M191393,0 Block Of Bucareli  Drive,Lakeshore
M191391,100 Block Of Garces  Drive,Lakeshore
M191454,300 Block Of Arballo  Drive,Lakeshore
M191445,0 Block Of Chumasero  Drive,Lakeshore
M191442,300 Block Of Cardenas  Avenue,Lakeshore
M191448,100 Block Of Font  Boulevard,Lakeshore
M191438,500 Block Of Vidal  Drive,Lakeshore
M191389,100 Block Of Cambon  Drive,Lakeshore
M191503,100 Block Of Wilde  Avenue,Visitacion Valley
M191446,100 Block Of Font  Boulevard,Lakeshore
M191394,100 Block Of Font  Boulevard,Lakeshore
M191435,100 Block Of Garces  Drive,Lakeshore
M191451,800 Block Of Green  Street,Russian Hill
M191439,300 Block Of Serrano  Drive,Lakeshore
M191440,400 Block Of Serrano  Drive,Lakeshore
M191396,300 Block Of Gonzalez  Drive,Lakeshore
M191437,300 Block Of Arballo  Drive,Lakeshore
M191436,100 Block Of Font  Boulevard,Lakeshore
M191395,500 Block Of Vidal  Drive,Lakeshore
M191449,300 Block Of Arballo  Drive,Lakeshore
M191504,100 Block Of Miramar  Avenue,Oceanview/Merced/Ingleside
M191453,700 Block Of Divisadero  Street,Hayes Valley
M191450,500 Block Of Gonzalez  Drive,Lakeshore
M191441,0 Block Of Castelo  Avenue,Lakeshore
M191444,100 Block Of Cardenas  Avenue,Lakeshore
M191434,100 Block Of Font  Boulevard,Lakeshore
M191443,500 Block Of Gonzalez  Drive,Lakeshore
M191390,400 Block Of Arballo  Drive,Lakeshore
M191388,500 Block Of Ofarrell  Street,Tenderloin
M191398,0 Block Of Castelo  Avenue,Lakeshore
M191397,700 Block Of Gonzalez  Drive,Lakeshore
M191447,400 Block Of Serrano  Drive,Lakeshore
M191387,0 Block Of Leona  Terrace,Presidio Heights
M191385,0 Block Of Tiffany  Avenue,Bernal Heights
M191384,800 Block Of Masonic  Avenue,Lone Mountain/USF
M191386,0 Block Of Chumasero  Drive,Lakeshore
M191383,800 Block Of Masonic  Avenue,Lone Mountain/USF
M191379,300 Block Of Russia  Avenue,Excelsior
M191380,3500 Block Of San Bruno  Avenue,Visitacion Valley
M191381,300 Block Of Leavenworth  Street,Tenderloin
M191382,900 Block Of Lawton  Street,Inner Sunset
M191359,200 Block Of Trumbull  Street,Excelsior
M191377,800 Block Of 48th  Avenue,Outer Richmond
M191378,600 Block Of Polk  Street,Tenderloin
M191360,200 Block Of Frederick  Street,Haight Ashbury
M191376,1600 Block Of Market  Street,Mission
M191409,600 Block Of Polk  Street,Tenderloin
M191406,700 Block Of Gonzalez  Drive,Lakeshore
M191413,900 Block Of South Van Ness  Avenue,Mission
M191337,1400 Block Of 41st  Avenue,Sunset/Parkside
M191412,0 Block Of Turk  Street,Tenderloin
M191336,900 Block Of Florida  Street,Mission
M191408,1000 Block Of Bush  Street,Nob Hill
M191410,1700 Block Of Pacific  Avenue,Pacific Heights
M191411,100 Block Of Hyde  Street,Tenderloin
M191407,1300 Block Of Lyon  Street,Presidio Heights
M191334,0 Block Of Bay View  Street,Bayview Hunters Point
M191333,1900 Block Of Ellis  Street,Western Addition
M191405,300 Block Of Arballo  Drive,Lakeshore
M191374,0 Block Of Bucareli  Drive,Lakeshore
M191366,1900 Block Of Page  Street,Haight Ashbury
M191375,100 Block Of Leland  Avenue,Visitacion Valley
M191373,0 Block Of Divisadero  Street,Castro/Upper Market
M191332,1100 Block Of Valencia  Street,Mission
M191367,1900 Block Of Page  Street,Haight Ashbury
M191372,1000 Block Of 14th  Street,Castro/Upper Market
M191330,3200 Block Of Anza  Street,Outer Richmond
M191368,1900 Block Of Page  Street,Haight Ashbury
M191369,400 Block Of Shrader  Street,Haight Ashbury
M191370,400 Block Of Shrader  Street,Haight Ashbury
M191371,400 Block Of Shrader  Street,Haight Ashbury
M191326,0 Block Of Escondido  Avenue,Sunset/Parkside
M191331,100 Block Of Marview  Way,Twin Peaks
M191362,900 Block Of Cabrillo  Street,Inner Richmond
M191327,1900 Block Of 18th  Avenue,Inner Sunset
M191328,1000 Block Of Hollister  Avenue,Bayview Hunters Point
M191363,100 Block Of Flood  Avenue,West of Twin Peaks
M191356,700 Block Of 32nd  Avenue,Outer Richmond
M191329,1500 Block Of Underwood  Avenue,Bayview Hunters Point
M191357,600 Block Of Ofarrell  Street,Tenderloin
M191325,1400 Block Of Keith  Street,Bayview Hunters Point
M191324,700 Block Of Natoma  Street,South of Market
M191355,300 Block Of Leavenworth  Street,Tenderloin
M191354,1800 Block Of Octavia  Street,Pacific Heights
M191323,1300 Block Of Alabama  Street,Mission
M191353,500 Block Of 29th  Avenue,Outer Richmond
M191322,0 Block Of Hill  Street,Mission
M191351,0 Block Of Diaz  Avenue,Lakeshore
M191348,0 Block Of Castelo  Avenue,Lakeshore
M191343,300 Block Of Serrano  Drive,Lakeshore
M191349,500 Block Of Arballo  Drive,Lakeshore
M191344,0 Block Of Fuente  Avenue,Lakeshore
M191347,100 Block Of Font  Boulevard,Lakeshore
M191291,800 Block Of Madrid  Street,Excelsior
M191345,100 Block Of Cambon  Drive,Lakeshore
M191321,400 Block Of Parker  Avenue,Lone Mountain/USF
M191350,100 Block Of Font  Boulevard,Lakeshore
M191352,300 Block Of Serrano  Drive,Lakeshore
M191346,300 Block Of Arballo  Drive,Lakeshore
M191292,200 Block Of Maynard  Street,Excelsior
M191279,900 Block Of Powell  Street,Chinatown
M191266,2700 Block Of 24th  Street,Mission
M191278,400 Block Of Frederick  Street,Haight Ashbury
M191286,1300 Block Of 12th  Avenue,Inner Sunset
M191280,900 Block Of Powell  Street,Chinatown
M191287,1300 Block Of 24th  Avenue,Sunset/Parkside
M191284,200 Block Of Andover  Street,Bernal Heights
M191275,3300 Block Of 18th  Street,Mission
M191283,200 Block Of Bridgeview  Drive,Bayview Hunters Point
M191285,200 Block Of Andover  Street,Bernal Heights
M191277,1000 Block Of Larkin  Street,Nob Hill
M191274,2000 Block Of Bush  Street,Pacific Heights
M191276,1000 Block Of Larkin  Street,Nob Hill
M191288,100 Block Of Divisadero  Street,Haight Ashbury
M191281,1900 Block Of 22nd  Avenue,Sunset/Parkside
M191273,2300 Block Of 19th  Avenue,Sunset/Parkside
M191289,100 Block Of San Jose  Avenue,Mission
M191341,200 Block Of Haight  Street,Hayes Valley
M191290,0 Block Of Cuvier  Street,Outer Mission
M191340,200 Block Of Haight  Street,Hayes Valley
M191282,2700 Block Of San Bruno  Avenue,Portola
M191271,1200 Block Of Vallejo  Street,Russian Hill
M191272,800 Block Of Clayton  Street,Haight Ashbury
M191234,0 Block Of Faxon  Avenue,Oceanview/Merced/Ingleside
M191269,0 Block Of Bernard  Street,Nob Hill
M191267,600 Block Of Polk  Street,Tenderloin
M191268,0 Block Of Turk  Street,Tenderloin
M191233,3300 Block Of Cesar Chavez  Street,Mission
M191270,0 Block Of Teresita  Boulevard,West of Twin Peaks
M191230,1000 Block Of Post  Street,Tenderloin
M191232,1900 Block Of 32nd  Avenue,Sunset/Parkside
M191237,4100 Block Of Irving  Street,Sunset/Parkside
M191236,4100 Block Of Irving  Street,Sunset/Parkside
M191228,700 Block Of Polk  Street,Tenderloin
M191231,0 Block Of Maynard  Street,Excelsior
M191235,0 Block Of Merrill  Street,Portola
M191197,3600 Block Of 17th  Street,Castro/Upper Market
M191198,600 Block Of Alvarado  Street,Noe Valley
M191196,2800 Block Of 23rd  Street,Mission
M191205,200 Block Of Church  Street,Castro/Upper Market
M191204,400 Block Of 27th  Avenue,Outer Richmond
M191199,600 Block Of Alvarado  Street,Noe Valley
M191200,600 Block Of Alvarado  Street,Noe Valley
M191201,2700 Block Of Sutter  Street,Presidio Heights
M191195,2800 Block Of 23rd  Street,Mission
M191193,1900 Block Of Buchanan  Street,Pacific Heights
M191169,3000 Block Of 23rd  Street,Mission
M191168,800 Block Of Treat  Avenue,Mission
M191191,0 Block Of Teresita  Boulevard,West of Twin Peaks
M191194,1100 Block Of Buchanan  Street,Western Addition
M191192,1000 Block Of Post  Street,Tenderloin
M191127,2900 Block Of Larkin  Street,Russian Hill
M191164,400 Block Of Ellington  Avenue,Outer Mission
M191165,1200 Block Of Union  Street,Russian Hill
M191202,600 Block Of Andover  Street,Bernal Heights
M191126,1700 Block Of Fell  Street,Lone Mountain/USF
M191203,2700 Block Of Sutter  Street,Presidio Heights
M191128,900 Block Of San Jose  Avenue,Glen Park
M191172,300 Block Of South Van Ness  Avenue,Mission
M191133,100 Block Of 10th  Avenue,Inner Richmond
M191171,300 Block Of South Van Ness  Avenue,Mission
M191170,300 Block Of South Van Ness  Avenue,Mission
M191125,2100 Block Of Leavenworth  Street,Russian Hill
M191163,2700 Block Of Sutter  Street,Presidio Heights
M191161,2700 Block Of Sutter  Street,Presidio Heights
M191167,1400 Block Of Jackson  Street,Russian Hill
M191162,2700 Block Of Sutter  Street,Presidio Heights
M191166,100 Block Of Linda  Street,Mission
M191132,100 Block Of Dartmouth  Street,Portola
M191123,0 Block Of Towerside  Avenue,Visitacion Valley
